url,producto,variedad,mercado,volumen,calidad,precioMin,precioProm,precioMax,unidad
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,12,Extra (doble especial),168.067,168.067,168.067,$/bins (420 kilos)
15/02/2017,Poroto granado,Sin especificar,Central Lo Valledor de Santiago,1.300,Primera,19.328,19.716,20.168,$/saco 30 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,10,Extra (doble especial),9.244,9.244,9.244,$/caja 16 kilos empedrada
15/02/2017,Poroto granado,Sin especificar,Central Lo Valledor de Santiago,800,Primera,18.487,18.908,19.328,$/saco 30 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,64,Extra (doble especial),10.084,10.084,10.084,$/caja 18 kilos empedrada
15/02/2017,Poroto verde,Magnum,Central Lo Valledor de Santiago,300,Primera,12.605,13.165,13.445,$/saco 30 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,18,Primera,134.454,134.454,134.454,$/bins (420 kilos)
15/02/2017,Poroto verde,Magnum,Central Lo Valledor de Santiago,250,Segunda,8.403,9.412,10.924,$/saco 30 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,110,Primera,6.303,6.303,6.303,$/caja 16 kilos empedrada
15/02/2017,Poroto verde,Sin especificar,Central Lo Valledor de Santiago,180,Primera,16.807,16.807,16.807,$/malla 30 kilos
15/02/2017,Nectarín,Artic Snow,Central Lo Valledor de Santiago,32,Primera,6.723,6.723,6.723,$/caja 18 kilos empedrada
15/02/2017,Repollo,Copenhague,Central Lo Valledor de Santiago,3.700,Primera,378,395,420,$/unidad
15/02/2017,Repollo,Copenhague,Central Lo Valledor de Santiago,2.000,Primera,420,420,420,$/unidad
15/02/2017,Nectarín,Artic Sprite,Central Lo Valledor de Santiago,16,Especial,168.067,168.067,168.067,$/bins (420 kilos)
15/02/2017,Repollo,Copenhague,Central Lo Valledor de Santiago,1.200,Segunda,294,294,294,$/unidad
15/02/2017,Nectarín,Artic Sprite,Central Lo Valledor de Santiago,14,Primera,151.260,151.260,151.260,$/bins (420 kilos)
15/02/2017,Repollo,Copenhague,Central Lo Valledor de Santiago,1.500,Segunda,336,336,336,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,16,Especial,126.050,126.050,126.050,$/bins (420 kilos)
15/02/2017,Repollo,Crespo record,Central Lo Valledor de Santiago,13.000,Primera,378,394,420,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,62,Especial,7.563,7.563,7.563,$/caja 16 kilos empedrada
15/02/2017,Repollo,Crespo record,Central Lo Valledor de Santiago,7.000,Segunda,252,252,252,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,135,Especial,7.143,7.516,7.983,$/caja 16 kilos empedrada
15/02/2017,Repollo,Morada(o),Central Lo Valledor de Santiago,4.000,Primera,336,336,336,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,27,Especial,7.563,7.563,7.563,$/caja 16 kilos empedrada
15/02/2017,Repollo,Morada(o),Central Lo Valledor de Santiago,2.000,Segunda,252,252,252,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,35,Extra (doble especial),8.403,8.403,8.403,$/caja 16 kilos empedrada
15/02/2017,Sandia,Sin especificar,Central Lo Valledor de Santiago,2.400,Extra (muy buena),2.101,2.216,2.353,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,14,Extra (doble especial),8.403,8.403,8.403,$/caja 16 kilos empedrada
15/02/2017,Sandia,Sin especificar,Central Lo Valledor de Santiago,2.800,Primera,1.681,1.837,2.017,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,18,Primera,109.244,109.244,109.244,$/bins (420 kilos)
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,135,Primera,6.723,6.723,6.723,$/caja 16 kilos empedrada
15/02/2017,Sandia,Sin especificar,Central Lo Valledor de Santiago,2.400,Segunda,1.261,1.366,1.513,$/unidad
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,217,Primera,5.882,5.882,5.882,$/caja 16 kilos empedrada
15/02/2017,Nectarín,August Red,Central Lo Valledor de Santiago,30,Primera,6.723,6.723,6.723,$/caja 16 kilos empedrada
15/02/2017,Tomate,Larga vida,Central Lo Valledor de Santiago,700,Primera,8.403,8.884,9.244,$/bandeja 18 kilos
15/02/2017,Tomate,Larga vida,Central Lo Valledor de Santiago,750,Segunda,6.723,7.283,7.563,$/bandeja 18 kilos
15/02/2017,Nectarín,September Red,Central Lo Valledor de Santiago,14,Especial,117.647,117.647,117.647,$/bins (420 kilos)
15/02/2017,Tomate,Larga vida,Central Lo Valledor de Santiago,200,Tercera,3.361,3.782,4.202,$/bandeja 18 kilos
15/02/2017,Nectarín,September Red,Central Lo Valledor de Santiago,18,Primera,100.840,100.840,100.840,$/bins (420 kilos)
15/02/2017,Nectarín,Summer Red,Central Lo Valledor de Santiago,25,Especial,7.563,7.563,7.563,$/caja 16 kilos empedrada
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,700,Primera,5.462,5.702,5.882,$/bandeja 18 kilos
15/02/2017,Nectarín,Summer Red,Central Lo Valledor de Santiago,45,Primera,5.882,5.882,5.882,$/caja 16 kilos empedrada
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,350,Primera,5.714,6.050,6.303,$/bandeja 18 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,120,Especial,5.042,5.042,5.042,$/bandeja 10 kilos granel
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,2.200,Primera,4.622,4.851,5.042,$/caja 16 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,32,Especial,117.647,121.849,126.050,$/bins (420 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,1.800,Primera,5.462,5.649,5.882,$/caja 16 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,16,Extra (doble especial),142.857,142.857,142.857,$/bins (420 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,500,Segunda,4.202,4.454,4.622,$/bandeja 18 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,150,Primera,4.202,4.202,4.202,$/bandeja 10 kilos granel
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,500,Segunda,4.202,4.454,4.622,$/bandeja 18 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,40,Primera,100.840,104.622,109.244,$/bins (420 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,1.800,Segunda,3.782,4.015,4.202,$/caja 16 kilos
15/02/2017,Nectarín,Super August,Central Lo Valledor de Santiago,18,Segunda,84.034,84.034,84.034,$/bins (420 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,1.300,Segunda,4.202,4.654,5.042,$/caja 16 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,6,Cuarta,672,672,672,$/kilo (en bins de 450 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,100,Tercera,2.521,2.521,2.521,$/bandeja 18 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,265,Cuarta,840,885,924,$/kilo (en caja de 15 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,120,Tercera,2.521,2.521,2.521,$/bandeja 18 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,259,Cuarta,840,884,924,$/kilo (en caja de 15 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,250,Tercera,2.101,2.353,2.521,$/caja 16 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,197,Especial,1.513,1.560,1.597,$/kilo (en caja de 15 kilos)
15/02/2017,Tomate,Semiduro,Central Lo Valledor de Santiago,350,Tercera,2.353,2.449,2.521,$/caja 16 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,205,Especial,1.513,1.554,1.597,$/kilo (en caja de 15 kilos)
15/02/2017,Zanahoria,Sin especificar,Central Lo Valledor de Santiago,1.100,Primera,6.723,7.219,7.563,$/saco 40 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,110,Especial,1.513,1.513,1.513,$/kilo (en caja de 17 kilos)
15/02/2017,Zanahoria,Sin especificar,Central Lo Valledor de Santiago,13.000,Primera,84,84,84,$/unidad
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,10,Primera,1.261,1.261,1.261,$/kilo (en bins de 450 kilos)
15/02/2017,Zanahoria,Sin especificar,Central Lo Valledor de Santiago,300,Segunda,5.042,5.042,5.042,$/saco 40 kilos
15/02/2017,Palta,Hass,Central Lo Valledor de Santiago,370,Primera,1.345,1.387,1.429,$/kilo (en caja de 15 kilos)
15/02/2017,Zanahoria,Sin especificar,Central Lo Valledor de Santiago,15.000,Segunda,50,50,50,$/unidad
